Specified Values,Specified Attribute Names,Country,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"0.0, 0.0, 0.0, 0.0, 1.0, 1.0","A_0, R_0, R_1, R_2, R_3, R_4",0.0,0.059981430857968907,757.1781860670105,258.09652557512857,8.731507047040191e-09,1,15.721511465838532,4930,1471,0.5454545454545454,0.0005520188439547688,32,53
"0.0, 0.0, 0.0, 0.0, 1.0, 1.0","A_0, R_0, R_1, R_2, R_4, R_7",0.0,0.21847982855769435,778.52516352,211.53960755199995,2.360703959338397e-08,1,12.61382943168906,4930,1471,0.5454545454545454,0.00044290089765565985,39,54
"1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0","A_1, A_2, R_0, R_2, R_4, R_5, R_7",1.0,0.009271748981958119,826.568037793792,285.9801804188331,5.227816329168239e-09,1,25.875547740995586,4785,1482,0.6363636363636364,0.000908550681130007,19,25
"0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_0, R_1, R_2, R_7",0.0,0.3305308518475106,1000.0,0.0,1.0,1,13.766622572600939,4879,1485,0.6363636363636364,0.0004833781468277846,23,27
"1.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, R_4, R_6",1.0,0.10684390440045051,1000.0,0.0,1.0,2,23.932168591667693,4839,1494,0.45454545454545453,0.0016806282357786518,91,111
"0.0, 1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_2, R_1, R_3, R_4, R_7",0.0,0.18974773170018167,1000.0,0.0,1.0,1,13.69801097948832,3533,1497,0.5454545454545454,0.0004809690341674515,36,53
"0.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, R_3, R_4, R_6, R_7",0.0,0.0035605940245779506,401.0163821525074,416.6351907368294,7.965632253648385e-10,1,26.33125534106465,4988,1510,0.5454545454545454,0.016797782115055483,22,53
"0.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, R_2, R_3, R_4, R_6",0.0,0.09221459098025536,0.0,0.0,1.0,1,31.258471424,4988,1510,0.5454545454545454,0.001097557655112477,13,51
"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_2, R_0, R_1, R_4, R_5, R_6, R_7",0.0,0.05293522994694972,892.5209600000001,193.46227199999996,3.6899338547600144e-08,1,17.6416309354496,4933,1529,0.6363636363636364,0.0006194387057265144,17,29
"0.0, 1.0, 1.0, 0.0, 0.0, 1.0","A_0, R_0, R_1, R_2, R_4, R_7",1.0,0.003631984964264085,860.5796018673166,235.73730706184614,1.3735940775456584e-08,1,16.510070685043896,4667,1533,0.5454545454545454,0.010325420054481454,29,51
"0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_0, R_1, R_3, R_4",1.0,0.07493652343506045,0.0,0.0,1.0,1,30.358427136,4976,1537,0.6363636363636364,0.001065955006191001,13,26
"0.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_2, R_0, R_1, R_4, R_6, R_7",1.0,0.043925502124704724,273.90363648000005,290.056978432,4.870610573918925e-09,1,22.79503153152,4273,1619,0.5454545454545454,0.0008003865901369951,15,51
"1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, R_4, R_6, R_7",0.0,0.14958714337828752,1000.0,0.0,1.0,2,20.070690050275044,4952,1623,0.45454545454545453,0.0014094572449985965,85,111
"0.0, 0.0, 1.0, 0.0, 1.0, 0.0","A_1, A_2, R_3, R_5, R_6, R_7",0.0,0.009575179351546042,569.1079495784159,369.0164091024536,1.4614084289803759e-09,1,12.332633986259072,4999,1625,0.5454545454545454,0.00044472544127400804,26,49
"1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_0, R_2, R_4, R_5, R_6",1.0,0.05852519486177555,0.0,0.0,1.0,1,29.4,4789,1653,0.7272727272727273,0.001032302399647462,5,14
"0.0, 0.0, 0.0, 1.0, 1.0","A_0, R_1, R_3, R_5, R_6",1.0,0.0383435508692142,566.2054373143885,413.6975306901276,8.252496650582488e-10,3,19.61108066073142,4768,1658,0.45454545454545453,0.0020657720026278554,46,105
"1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_6, R_7",0.0,0.06338730417212365,1000.0,0.0,1.0,1,21.287713985548947,4696,1663,0.45454545454545453,0.0007474611642956128,81,108
"1.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, R_0, R_4, R_6, R_7",1.0,0.20322504940951874,1000.0,0.0,1.0,2,26.174771351873478,4975,1693,0.5454545454545454,0.001838114236514465,42,51
"1.0, 1.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, R_4, R_6, R_7",1.0,0.06222552074265616,1000.0,0.0,1.0,1,25.078783681814702,4975,1693,0.5454545454545454,0.0008805744413257459,39,49
"1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_2, R_0, R_2, R_4, R_5, R_6",0.0,0.39156297577391835,0.0,0.0,1.0,3,18.45248,4972,1747,0.6363636363636364,0.0019437285085149797,10,27
"0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_1, R_3, R_5, R_7",0.0,0.09793133444838147,1000.0,0.0,1.0,1,16.465766473728,4679,1787,0.6363636363636364,0.0005781513688049028,16,23
"0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, R_0, R_2, R_3, R_4, R_6, R_7",0.0,0.049740146452333704,982.820130816,51.53960755199997,2.7497579321936246e-05,1,12.766218425637273,4846,1813,0.6363636363636364,0.0004482516297690137,20,25
"1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_5",0.0,0.6352098404608238,1000.0,0.0,1.0,9,20.708367763194587,4963,1831,0.45454545454545453,0.006544070735120791,78,98
"1.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_4, R_5",1.0,0.08431236429456634,0.0,0.0,1.0,1,22.832639999999998,4814,1831,0.5454545454545454,0.0008017071109621301,10,51
"0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0","A_0, A_1, R_1, R_2, R_3, R_4, R_5, R_6",1.0,0.04267610797494158,250.00000000000003,270.8333333333333,6.862611684033906e-09,1,21.75,4213,1832,0.7272727272727273,0.0007636931017800102,4,12
