A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Inverse Variance,g_k,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
#,0.0,1.0,#,1.0,#,0.0,1.0,0.0,#,1.0,0.0,0.06180386730954541,0.000625,0.0,475.392,404.39466666666664,9.246404820618773e-10,1,21.19168,2230,135,0.6363636363636364,0.00024965459067578376,10,22
0.0,0.0,#,#,1.0,0.0,#,1.0,0.0,#,0.0,0.0,0.0698351633477674,0.0008867763904653803,0.0,204.8,283.3066666666667,5.479185810653503e-09,1,17.8624,2398,137,0.6363636363636364,0.000210433064319918,8,23
#,0.0,1.0,#,0.0,#,#,#,1.0,0.0,1.0,1.0,0.005273815615170469,0.0013124999999999996,0.0,755.720261632,329.78607363413334,2.563530208499102e-09,1,28.122400886784,2765,145,0.5454545454545454,0.0003313039118281494,16,43
#,#,1.0,1.0,0.0,#,#,#,1.0,0.0,1.0,0.0,0.014809176200698135,0.0012235771923549076,0.0,645.3489133349241,394.5487920160449,1.045915044029213e-09,2,18.26961783061558,2845,145,0.5454545454545454,0.00043046081870860007,23,42
0.0,0.0,#,1.0,#,#,1.0,#,0.0,0.0,1.0,1.0,0.012569149075802439,0.0007638506486541529,0.015232487047848717,681.777221632,378.2991227562667,1.2906941123991287e-09,1,28.115645018111998,2799,146,0.6363636363636364,0.00033122432240305583,16,21
1.0,#,#,1.0,0.0,#,1.0,#,0.0,1.0,#,1.0,0.012654996694849426,0.0013125,0.0,713.3357845606564,309.98639986903174,3.4937095613647074e-09,1,22.979977911632137,2819,169,0.5454545454545454,0.0002707221409188452,22,46
1.0,0.0,#,1.0,0.0,#,1.0,1.0,0.0,1.0,#,1.0,0.1480954970262427,-0.00075,-0.0,800.0,223.33333333333334,1.7998332061237633e-08,1,42.6,1946,169,0.7272727272727273,0.0005018613702541936,5,9
0.0,1.0,0.0,#,#,0.0,#,0.0,#,#,#,1.0,0.7559569363585749,inf,0.3333333333333333,0.0,0.0,1.0,5,24.495573994822358,2991,178,0.45454545454545453,0.001442885250024007,29,91
0.0,#,#,0.0,0.0,1.0,1.0,#,1.0,1.0,#,0.0,0.03015548017903835,0.000625,0.0,508.92800000000005,395.81013333333334,1.029355660273156e-09,1,28.324672,2925,179,0.6363636363636364,0.0003336868239887462,10,24
#,0.0,0.0,#,#,1.0,#,1.0,1.0,#,1.0,0.0,0.03415292371081768,0.0021513376340500435,0.0,110.08554827776,218.97527252309328,1.9862075227482385e-08,1,24.937376437207043,2751,194,0.5454545454545454,0.000293781828857309,18,48
#,1.0,0.0,#,0.0,1.0,#,0.0,0.0,0.0,1.0,0.0,0.047878807425946426,-0.00075,-0.0,600.0,346.66666666666663,1.997282869425226e-09,1,32.6,2244,196,0.7272727272727273,0.0003840535368611904,5,10
#,#,0.0,1.0,0.0,0.0,0.0,#,1.0,#,0.0,1.0,0.15983404146177493,0.0006249999999999999,0.0,790.08,264.192,7.769654140509544e-09,2,24.456960000000002,2089,223,0.6363636363636364,0.0005762442937958687,9,20
1.0,0.0,0.0,#,#,1.0,#,0.0,#,#,#,1.0,0.4575713652537389,inf,0.125,0.0,0.0,1.0,8,33.25013049039038,2870,232,0.45454545454545453,0.00313370066648602,26,82
#,#,1.0,#,0.0,#,0.0,#,#,0.0,1.0,1.0,0.0032151709500338028,0.0015762775464854982,0.0,601.4700154713366,430.1832551979493,6.787853996071635e-10,1,25.612884393361856,2994,256,0.45454545454545453,0.006068886208266664,28,80
#,#,1.0,#,#,#,#,#,1.0,0.0,1.0,1.0,0.017456733182974284,0.0032982805006011705,0.0,945.7339211547385,114.10126763818877,5.170679904583499e-07,3,21.427626085132367,2965,256,0.36363636363636365,0.00841604733031574,88,169
0.0,0.0,#,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21639999609879718,inf,0.25,0.0,0.0,1.0,1,21.0,1153,257,0.9090909090909091,0.0002473964501253067,2,3
0.0,0.0,0.0,0.0,#,#,0.0,0.0,#,0.0,0.0,0.0,0.29981748037800215,inf,0.3333333333333333,1000.0,0.0,1.0,1,27.816,1573,261,0.7272727272727273,0.0003276942693659776,7,10
0.0,1.0,#,1.0,#,1.0,#,#,#,#,#,1.0,0.0014977853017202115,0.0033511458312248444,0.0,954.4776347940009,118.75054462179799,4.2346931805589267e-07,1,22.35306728589319,2990,285,0.36363636363636365,0.011369520145179628,112,171
#,1.0,0.0,#,0.0,0.0,0.0,0.0,0.0,#,#,1.0,0.018406357989250458,0.0007227104532839962,0.0,364.8,378.4533333333333,1.2880666214305135e-09,1,23.448,2800,301,0.6363636363636364,0.00027623580773991386,8,22
#,0.0,0.0,1.0,0.0,#,#,1.0,#,0.0,1.0,0.0,0.36341177758641857,inf,0.3333333333333333,0.0,0.0,1.0,1,19.080000000000002,2473,302,0.6363636363636364,0.0002247773461138501,6,20
0.0,1.0,1.0,#,#,0.0,#,0.0,1.0,#,#,1.0,0.0020760783032985636,0.0013125000000000003,0.0,669.7425303306239,402.5384854006443,9.461564604336185e-10,1,19.907476150779907,2929,304,0.5454545454545454,0.00023452566336462635,19,43
1.0,1.0,#,#,#,0.0,0.0,1.0,0.0,#,#,1.0,0.002660117983693922,0.0013125,0.0,671.86998198272,397.08251909870927,1.012969007594315e-09,1,28.1142908321792,2664,307,0.5454545454545454,0.0003312083690319804,18,43
0.0,#,1.0,#,0.0,#,#,1.0,0.0,#,#,0.0,0.016783043045137936,0.001995552223002272,0.0,670.0292375670317,272.19414316109396,6.692773367138762e-09,1,16.991375718014087,2980,326,0.45454545454545453,0.00020017171597057234,49,85
#,#,0.0,1.0,#,0.0,0.0,#,1.0,#,0.0,1.0,0.0043566064867930215,0.0013124999999999999,0.0,436.0580582604801,431.58498124322136,6.67833782056515e-10,1,25.2624078987264,2931,334,0.5454545454545454,0.00029761095408392473,18,34
1.0,0.0,1.0,0.0,#,1.0,#,1.0,#,#,#,1.0,0.003983006586950643,0.0013124999999999999,0.023221560895901022,316.27716049124723,407.1328002697191,8.939629879854525e-10,1,20.36085322582605,2911,348,0.5454545454545454,0.0038943907330130432,23,37
#,#,0.0,1.0,1.0,#,0.0,#,1.0,0.0,#,0.0,0.012401118790180288,0.0013124999999999999,0.0,612.21493096448,401.51165309201065,9.583170792380116e-10,1,23.5815186096128,2802,357,0.5454545454545454,0.00027780876155152686,18,46
1.0,1.0,#,1.0,1.0,1.0,0.0,#,#,#,#,0.0,0.010542958165087544,0.0013125,0.029022814883466013,581.820373008384,366.6973417624917,1.5082078310161438e-09,1,22.85495620678451,2926,373,0.5454545454545454,0.00026924928730132536,19,45
0.0,0.0,#,0.0,0.0,#,#,#,1.0,#,1.0,0.0,0.568133498198347,inf,0.5,1000.0,0.0,1.0,5,23.509824394884745,2722,383,0.5454545454545454,0.0013848207377056719,33,42
0.0,0.0,0.0,0.0,0.0,#,#,#,#,1.0,#,0.0,0.31734198227242844,inf,0.3333333333333333,1000.0,0.0,1.0,3,23.47974976428439,2922,383,0.5454545454545454,0.0008298295345020662,28,40
