Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
82,0.5853658536585366,0,96,99,4,1,0.0,0,0,0,1,0,0.07700061798095703,0.00599980354309082,0.0,0.0,0.0,0.0
83,0.5853658536585366,0,98,101,5,3,50.0,0,1,1,0,0,0.07800030708312988,0.006999492645263672,0.0,0.0,0.0,0.0
84,0.5853658536585366,0,98,101,8,3,54.0,0,0,0,0,0,0.07800030708312988,0.006999492645263672,0.0,0.0,0.0,0.0
85,0.5952380952380952,0,99,102,5,1,15.0,0,0,0,1,0,0.07800030708312988,0.006999492645263672,0.0,0.0,0.0,0.0
86,0.5952380952380952,0,100,103,3,1,0.0,0,0,0,1,0,0.07800030708312988,0.006999492645263672,0.0,0.0,0.0,0.0
87,0.5952380952380952,0,102,106,3,2,59.66666666666667,0,0,1,1,0,0.07900047302246094,0.006999492645263672,0.0,0.0010001659393310547,0.0,0.0
88,0.5813953488372093,0,103,107,4,3,59.5,0,0,0,1,0,0.07900047302246094,0.006999492645263672,0.0,0.0010001659393310547,0.0,0.0
89,0.5681818181818182,0,104,108,4,2,13.0,0,0,0,1,0,0.07900047302246094,0.006999492645263672,0.0,0.0010001659393310547,0.0,0.0
90,0.5777777777777777,0,104,108,5,1,58.0,0,0,0,0,0,0.07900047302246094,0.006999492645263672,0.0,0.0010001659393310547,0.0,0.0
91,0.5777777777777777,0,104,108,5,2,54.5,0,0,0,0,0,0.07900047302246094,0.006999492645263672,0.0,0.0010001659393310547,0.0,0.0
92,0.5652173913043478,0,105,109,3,2,42.5,0,0,0,1,0,0.07900047302246094,0.006999492645263672,0.0,0.0010001659393310547,0.0,0.0
93,0.5531914893617021,0,106,110,4,3,52.75,0,0,0,1,0,0.08000016212463379,0.007999181747436523,0.0,0.0010001659393310547,0.0,0.0
94,0.5625,0,106,110,9,4,46.4,0,0,0,0,0,0.08000016212463379,0.007999181747436523,0.0,0.0010001659393310547,0.0,0.0
95,0.5714285714285714,0,107,111,3,1,44.0,0,0,0,1,0,0.08000016212463379,0.007999181747436523,0.0,0.0010001659393310547,0.0,0.0
96,0.58,0,107,111,5,3,62.75,0,0,0,0,0,0.08000016212463379,0.007999181747436523,0.0,0.0010001659393310547,0.0,0.0
97,0.58,0,107,111,5,4,24.25,0,0,0,0,0,0.08000016212463379,0.007999181747436523,0.0,0.0010001659393310547,0.0,0.0
98,0.6,0,108,112,4,3,28.66666666666667,0,0,0,1,0,0.08000016212463379,0.007999181747436523,0.0,0.0010001659393310547,0.0,0.0
99,0.6,0,109,114,6,5,54.666666666666664,0,1,1,0,0,0.08100032806396484,0.008999347686767578,0.0,0.0010001659393310547,0.0,0.0
100,0.6,0,110,115,5,3,70.4,0,0,0,1,0,0.08100032806396484,0.008999347686767578,0.0,0.0010001659393310547,0.0,0.0
101,0.6,0,111,116,4,3,75.0,0,0,0,1,0,0.08100032806396484,0.008999347686767578,0.0,0.0010001659393310547,0.0,0.0
102,0.6,0,112,117,5,3,57.333333333333336,0,0,0,1,0,0.08100032806396484,0.008999347686767578,0.0,0.0010001659393310547,0.0,0.0
103,0.6,0,112,117,6,5,39.4,0,0,0,0,0,0.082000732421875,0.009999752044677734,0.0,0.0010001659393310547,0.0,0.0
104,0.6,0,113,118,4,3,30.0,0,0,0,1,0,0.082000732421875,0.009999752044677734,0.0,0.0010001659393310547,0.0,0.0
